NR	Opprettet	Endret	spmFunk	spmHvor	spmTriv	byggestoy1	personstoy1	trafikk1	vifte1	annet1	spmEff	byggestoy2	personstoy2	trafikk2	vifte2	annet2	spmTiltak_1	spmTiltak_2	spmTiltak_3	spmTiltak_4	spmTiltak_5	spmTiltak_6	spmTiltak_7	spmTekst	Svartid
25848171	15.02.2023 11:54	15.02.2023 11:54	stud	real	2	2	3	1	1	1	1	1	1	1	1	1	mNc				ingenting	paavirk			1 minutt 41 sekunder
25848185	15.02.2023 11:55	15.02.2023 11:55	stud	elE	5	5	4	1	1	3	5	5	4	1	1	3	mNc		flytt						1 minutt 58 sekunder
25848186	15.02.2023 11:55	15.02.2023 11:55	stud	elE	4	5	2	1	1	1	5	5	2	1	1	1		uNc	flytt						2 minutter 24 sekunder
25848187	15.02.2023 11:55	15.02.2023 11:55	stud	elE	3	5	2	1	1	1	5	5	2	1	1	1	mNc				ingenting				2 minutter 25 sekunder
25848189	15.02.2023 11:55	15.02.2023 11:55	stud	elE	5	5	5	5	3	5	5	5	5	5	4	5	mNc		flytt		ingenting				2 minutter 26 sekunder
25848190	15.02.2023 11:55	15.02.2023 11:55	stud	elE	3	5	3	1	1	2	3	5	3	1	2	1	mNc		flytt		ingenting				2 minutter 19 sekunder
25848193	15.02.2023 11:55	15.02.2023 11:55	stud	gamEl	2	2	2	1	2	2	2	2	2	1	2	2	mNc		flytt		ingenting			Dempevegger i samarbeidsområder	3 minutter 50 sekunder
25848196	15.02.2023 11:55	15.02.2023 11:55	stud	elE	5	5	4	2	2	3	4	4	4	1	1	1	mNc		flytt						2 minutter 31 sekunder
25848197	15.02.2023 11:55	15.02.2023 11:55	stud	elE	5	4	2	1	2	3	4	5	2	1	1	3	mNc		flytt						2 minutter 37 sekunder
25848201	15.02.2023 11:55	15.02.2023 11:55	stud	elE	3	4	2	1	1	1	2	4	2	1	1	2					ingenting				2 minutter 49 sekunder
25848206	15.02.2023 11:56	15.02.2023 11:56	stud	sent1	2	1	3	1	1	1	2	1	3	1	1	1			flytt		ingenting				4 minutter 48 sekunder
25848241	15.02.2023 11:57	15.02.2023 11:57	stud	elE	4	4	4	1	1	2	3	3	3	1	1	1		uNc	flytt		ingenting			Flere rom som er satt av til å jobbe med øvinger og skolearbeid, men i grupper, så man fortsatt kan snakke sammen. Da slipper vi å sitte i vrimleområdene	3 minutter 38 sekunder
25848274	15.02.2023 11:59	15.02.2023 11:59	stud	elE	5	5	3	1	2	1	4	5	4	1	2	1	mNc							Gjør ferdig byggeprosjektet	6 minutter 7 sekunder
25848416	15.02.2023 12:06	15.02.2023 12:06	stud	bygg	2	1	1	1	2	1	1	1	1	1	2	1	mNc								1 minutt 45 sekunder
25849152	15.02.2023 12:12	15.02.2023 12:12	stud	sent1	3	1	4	1	1	1	4	1	4	1	1	1	mNc		flytt						1 minutt 36 sekunder
25849203	15.02.2023 12:14	15.02.2023 12:14	stud	hoved	4	5	1	1	2	2	3	4	1	1	2	2	mNc		flytt						1 minutt 48 sekunder
25849232	15.02.2023 12:14	15.02.2023 12:14	stud	varme	1	2	4	1	1	1	1	1	4	1	1	1	mNc								2 minutter 9 sekunder
25849241	15.02.2023 12:15	15.02.2023 12:15	stud	kjel	2	5	2	1	1	1	3	4	2	1	1	1	mNc								2 minutter 17 sekunder
25849361	15.02.2023 12:15	15.02.2023 12:15	stud	real	4	2	4	1	2	1	4	2	4	1	2	1	mNc		flytt	demp				Løvblåser under forelesningstid bør unngås. Bedre lydisolering/støydempning på åpne leseplasser, eks vrimle.	3 minutter 1 sekund
25849427	15.02.2023 12:15	15.02.2023 12:15	stud	real	2	4	1	2	3	2	2	4	2	1	2	1	mNc				ingenting				38 minutter 42 sekunder
25849634	15.02.2023 12:18	15.02.2023 12:18	ans	gruve	5	1	1	1	1	1	1	1	1	1	1	1	mNc		flytt						1 minutt 40 sekunder
25849746	15.02.2023 12:22	15.02.2023 12:22	stud	verk	4	4	2	2	1	2	5	5	4	2	2	3	mNc		flytt						2 minutter 12 sekunder
25849800	15.02.2023 12:24	15.02.2023 12:24	stud	real	1	3	1	1	1	1	1	3	1	1	1	1	mNc					paavirk			1 minutt 36 sekunder
25849840	15.02.2023 12:25	15.02.2023 12:25	stud	real	2	1	2	1	1	1	3	3	2	3	1	1	mNc								2 minutter 25 sekunder
25849869	15.02.2023 12:26	15.02.2023 12:26	stud	tapir	4	4	2	2	4	1	3	4	2	3	3	1	mNc								1 minutt 27 sekunder
25849878	15.02.2023 12:26	15.02.2023 12:26	stud	tapir	3	3	3	3	2	5	3	2	2	2	3	5	mNc								1 minutt 45 sekunder
25849894	15.02.2023 12:27	15.02.2023 12:27	stud	tapir	2	3	2	1	1	1	2	3	2	1	1	1					ingenting	paavirk			2 minutter 15 sekunder
25849897	15.02.2023 12:27	15.02.2023 12:27	stud	real	2	3	2	2	2	2	2	3	2	1	2	2		uNc	flytt				annet		1 minutt 11 sekunder
25849903	15.02.2023 12:27	15.02.2023 12:27	stud	tapir	4	1	2	1	2	3	1	1	2	1	1	1	mNc		flytt				annet		1 minutt 25 sekunder
